THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
189861,VIETNAM (SOUTH),VNAF,1975-02-03,262887,SEADAB,UH-1,BINH THUY,,,,20,800.0,PASSENGERS,,0,UH1,UH1,,,,23,52.0,TRAINING,0722,1,,D,211HS,,,SOUTH VIETNAM,,,,,UNIT: 211HS - CALLSIGN:,,26751286,NONKINETIC,-1,-1,,,,800.0,0,1975
189904,VIETNAM (SOUTH),VNAF,1975-01-22,262930,SEADAB,UH-1,DANANG,,,,50,800.0,PASSENGERS,,0,UH1,UH1,,,,94,48.0,LOG TROOP CARRYING,0783,1,,D,233HS,,,SOUTH VIETNAM,,,,,UNIT: 233HS - CALLSIGN:,,26751329,NONKINETIC,-1,-1,,,,800.0,0,1975
190023,KOREA (SOUTH),KAF,1975-01-17,263049,SEADAB,T-28,BATTAMBANG,,,,0,200.0,,,0,T28,T28,,,,45,54.0,AIRBORNE ALERT,K006,3,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26751448,NONKINETIC,-1,-1,,,,200.0,0,1975
190069,KOREA (SOUTH),KAF,1975-01-24,263095,SEADAB,C-123,PONCHENTONG,,,,124,200.0,PASSENGERS,,0,C123,C123,,,,275,95.0,FRIENDLY A/CL TO/L,K048,5,,D,KAF,,,CAMBODIA,,,,,UNIT: KAF - CALLSIGN:,,26751494,NONKINETIC,-1,-1,,,,200.0,0,1975
190132,VIETNAM (SOUTH),VNAF,1975-02-01,263158,SEADAB,O-1,BINH THUY,,,,0,800.0,,,0,O1,O1,,,,286,18.0,VISUAL RECCE,0794,1,,D,116LS,,,SOUTH VIETNAM,,,,,UNIT: 116LS - CALLSIGN:,,26751557,NONKINETIC,-1,-1,,,,800.0,0,1975
190176,UNITED STATES OF AMERICA,USAF,1975-05-28,263202,SEADAB,F-111,KORAT,,,,0,1800.0,,,0,F111,F111,,,,105,52.0,TRAINING,1110,5,,N,347TFW,,,THAILAND,,,,,UNIT: 347TFW - CALLSIGN:,,26751601,NONKINETIC,-1,-1,,,,1800.0,0,1975
190222,VIETNAM (SOUTH),VNAF,1975-04-15,263248,SEADAB,UH-1,BIEN HOA,,,,0,800.0,,,0,UH1,UH1,,,,50,44.0,ARMED HELICOPTER,0752,1,,D,245HS,,,SOUTH VIETNAM,,,,,UNIT: 245HS - CALLSIGN:,,26751647,KINETIC,-1,-1,,,,800.0,0,1975
190239,VIETNAM (SOUTH),VNAF,1975-02-17,263265,SEADAB,UH-1,BIEN HOA,,,,15,800.0,PASSENGERS,,0,UH1,UH1,,,,60,47.0,COMBT CARGO CARRYING,0828,1,,D,251HS,,,SOUTH VIETNAM,,,,,UNIT: 251HS - CALLSIGN:,,26751664,NONKINETIC,-1,-1,,,,800.0,0,1975
190260,,OTHER,1975-03-13,263286,SEADAB,DC-8,TAN SON NHUT,,,,1416,800.0,CARGO (TONS),,0,DC8,DC8,,,,17,49.0,LOG CARGO CARRYING,C105,4,,D,FTL,,,CAMBODIA,,,,,UNIT: FTL - CALLSIGN:,,26751685,NONKINETIC,-1,-1,,,,800.0,0,1975
190302,VIETNAM (SOUTH),VNAF,1975-02-15,263328,SEADAB,UH-1,BIEN HOA,,,,3,800.0,PASSENGERS,,0,UH1,UH1,,,,25,45.0,COMMAND/CONTROL,0726,1,,D,221HS,,,SOUTH VIETNAM,,,,,UNIT: 221HS - CALLSIGN:,,26751727,NONKINETIC,-1,-1,,,,800.0,0,1975
190360,VIETNAM (SOUTH),VNAF,1975-02-27,263386,SEADAB,UH-1,PLEIKU,,,,0,800.0,,,0,UH1,UH1,,,,30,53.0,MAINTENANCE,0797,1,,D,235HS,,,SOUTH VIETNAM,,,,,UNIT: 235HS - CALLSIGN:,,26751785,NONKINETIC,-1,-1,,,,800.0,0,1975
190417,UNITED STATES OF AMERICA,USAF,1975-02-11,263443,SEADAB,HH-53,NAKHON PHANOM,,,,0,800.0,,,0,HH53,HH53,,,,16,53.0,MAINTENANCE,1114,1,,D,40ARRS,,,THAILAND,,,,,UNIT: 40ARRS - CALLSIGN:,,26751842,NONKINETIC,-1,-1,,,,800.0,0,1975
190435,VIETNAM (SOUTH),VNAF,1975-01-25,263461,SEADAB,UH-1,BIEN HOA,,,,25,800.0,PASSENGERS,,0,UH1,UH1,,,,35,47.0,COMBT CARGO CARRYING,0756,1,,D,231HS,,,SOUTH VIETNAM,,,,,UNIT: 231HS - CALLSIGN:,,26751860,NONKINETIC,-1,-1,,,,800.0,0,1975
190436,UNITED STATES OF AMERICA,USAF,1975-03-05,263462,SEADAB,C-130,U TAPAO,,,,204,800.0,CARGO (TONS),,0,C130,C130,,,,365,48.0,LOG TROOP CARRYING,C101,28,,D,374TAW,,,THAILAND,,,,,UNIT: 374TAW - CALLSIGN:,,26751861,NONKINETIC,-1,-1,,,,800.0,0,1975
190572,VIETNAM (SOUTH),VNAF,1975-01-24,263598,SEADAB,F-5,BIEN HOA,,,,0,800.0,,,0,F5,F5,,,,8,53.0,MAINTENANCE,0843,1,,D,542FS,,,SOUTH VIETNAM,,,,,UNIT: 542FS - CALLSIGN:,,26751997,NONKINETIC,-1,-1,,,,800.0,0,1975
