THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT,Year
2199918,UNITED STATES OF AMERICA,USAF,10/1/67,1696843,CACTA6669,F-4,DANANG,17.055555,106.894444,ANTI-AIRCRAFT,1,905,M-61,,50,F4C,F4,,,,29,1,STRIKE,JG804,2,ROLLING THUN - ROLLING THUND,D,JAJIZ0,NOT OBS,TPQ-10,NORTH VIETNAM,,170320N1065340E,DDMMSSN DDDMMSSE,0609CM,MISSION: RT57C - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),YE,24702963,KINETIC,2,100,,,,905,-1,1967
2199966,UNITED STATES OF AMERICA,USAF,10/1/67,1696899,CACTA6669,F-100,BIEN HOA,11.14583424,106.4605633,BUILDINGS,0,800,,,0,F100D,F100,,,,0,3,AIR INTERDICTION,JA030,2,IN COUNTRY - SOUTH VIETNAM,D,JAJHJ0,BROKEN,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXT598324,##ABC111222,0509N,MISSION: VS10&65 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XT,24703011,KINETIC,0,0,,,,805,-1,1967
2201905,UNITED STATES OF AMERICA,USAF,10/1/67,1699405,CACTA6669,F-100,PHU CAT,15.58186785,108.213292,TROOPS,6,652,750LB BLU-1/27,,694,F100D,F100,,,,45,5,CLOSE AIR SUPPORT,JH008,3,IN COUNTRY - SOUTH VIETNAM,D,JAJJB0,SCATTERED,,SOUTH VIETNAM,,49PBT015245,##ABC111222,0159R,MISSION: VS10-28 - CONTROL_TYPE:  - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),ZB,24704951,KINETIC,0,0,,,,708,-1,1967
2202081,UNITED STATES OF AMERICA,USN,10/1/67,1699629,CACTA6669,RA-5,WESTPAC 64,19.716666,105.883333,AREA\DEPOT,0,445,,,0,RA5C,RA5,,,,10,20,PHOTO RECCE,C0009,1,#NAME?,D,N63915,CLEAR,,NORTH VIETNAM,,1943N10553E1925,DDMMSSN DDDMMSSE,10635E,MISSION: UE428C - CONTROL_TYPE:  - RTCOR: CORPS AREA IV (IN-COUNTRY MISSIONS) OR RTE AREA 4 (OUT-OF-COUNTRY MISSIONS),WG,24705127,NONKINETIC,0,0,,,,505,-1,1967
2202597,UNITED STATES OF AMERICA,USMC,10/1/67,1700277,CACTA6669,A-4,CHU LAI,15.5983345,108.0900526,UNKNOWN\UNIDENTIFIED,0,1745,MK-11/MK-12,,57,A4E,A4,,,,18,6,DIRECT AIR SUPPORT,ME005,1,IN COUNTRY,N,M01311,BROKEN,TPQ-10,SOUTH VIETNAM,,49PAT88302650,##ABC11112222,509,MISSION: VS1001079 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),ZB,24705645,KINETIC,0,2,,,,1750,-1,1967
2202753,UNITED STATES OF AMERICA,USAF,10/1/67,1700485,CACTA6669,F-4,DANANG,14.633333,106.715833,FORD,11,1920,500LB GP MK-82,,500,F4C,F4,,,,32,1,STRIKE,JG906,2,STEEL TIGER - STEEL TIGER,N,JAJIY0,CLEAR,TPQ-10,LAOS,,143800N1064257E,DDMMSSN DDDMMSSE,CH,MISSION: SLTH-274 - CONTROL_TYPE: TPQ-10 - RTCOR: UNKNOWN,XB,24705802,KINETIC,0,0,,,,1920,-1,1967
2202783,UNITED STATES OF AMERICA,USAF,10/1/67,1700520,CACTA6669,F-100,TUY HOA,14.79299884,108.8588315,AREA\DEPOT,10,530,1000LB GP M-65,,1104,F100D,F100,,,,43,5,CLOSE AIR SUPPORT,JD009,3,IN COUNTRY - SOUTH VIETNAM,D,JAJIL0,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,49PBS699364,##ABC111222,0159C,MISSION: VS10-115 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24705832,KINETIC,0,0,,,,545,-1,1967
2205015,UNITED STATES OF AMERICA,USN,10/1/67,1703399,CACTA6669,F-4,WESTPAC 64,19.5125,105.738888,BRIDGE,24,515,750LB GP M-117,,799,F4B,F4,,,,68,4,ARMED RECCE,C0001,4,ROLLING THUN - ROLLING THUND,D,N09097,,PREBRIEFED TGT,NORTH VIETNAM,,193045N1054420E,DDMMSSN DDDMMSSE,9999N,MISSION: RT57C - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),WG,24708066,KINETIC,0,0,,,,516,-1,1967
2210385,UNITED STATES OF AMERICA,USAF,10/1/67,1710388,CACTA6669,F-105,VTBI,21.408333,106.29,RAILROAD,6,933,750LB GP M-117,,799,F105D,F105,,,,163,1,STRIKE,JR008,4,ROLLING THUN - ROLLING THUND,D,JAJIN0,CLEAR,PREBRIEFED TGT,NORTH VIETNAM,,212430N1061724E,DDMMSSN DDDMMSSE,0995HL,MISSION: RT57071 - CONTROL_TYPE: PREBRIEFED TGT - RTCOR: RTE AREA 6A (OUT-OF-COUNTRY MISSIONS),XK,24713447,KINETIC,0,0,,,,934,-1,1967
2211065,UNITED STATES OF AMERICA,USMC,10/1/67,1711259,CACTA6669,F-8,DANANG,16.86797638,106.9252131,AREA\DEPOT,2,1218,2000LB M-66,,2000,F8E,F8,,,,8,6,DIRECT AIR SUPPORT,MX015,1,IN COUNTRY,N,M01235,CLEAR,TPQ-10,SOUTH VIETNAM,,48QYD05406580,##ABC11112222,0859N,MISSION: VS100114 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),VC,24714127,KINETIC,0,0,,,,1219,-1,1967
2211881,UNITED STATES OF AMERICA,USAF,10/1/67,1712320,CACTA6669,RF-4,PHU CAT,,,AREA\DEPOT,0,150,,,0,RF4C,RF4,,,,0,20,PHOTO RECCE,JP014,1,IN COUNTRY,D,JAMPH0,OVERCAST,,SOUTH VIETNAM,,XD8763     XD87,DDMMSSN DDDMMSSE,7,MISSION: VS0130 - CONTROL_TYPE:  - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),,24714944,NONKINETIC,0,0,,,,210,-1,1967
2212614,UNITED STATES OF AMERICA,USN,10/1/67,1713254,CACTA6669,E-2,WESTPAC 64,,,,0,0,,,0,E2A,E2,,,,24,41,AEW,C0045,1,ROLLING THUN - ROLLING THUND,D,N09459,UNDERCAST,,,,,,,MISSION: RT57C - CONTROL_TYPE:  - RTCOR:,,24715679,NONKINETIC,0,0,,,,0,-1,1967
2212907,UNITED STATES OF AMERICA,USAF,10/1/67,1713643,CACTA6669,RF-4,TAN SON NHUT,,,AREA\DEPOT,0,530,,,0,RF4C,RF4,,,,19,20,PHOTO RECCE,JP029,1,IN COUNTRY,D,JAJQI0,SCATTERED,,SOUTH VIETNAM,,XT1269     XT28,DDMMSSN DDDMMSSE,6,MISSION: VS0180 - CONTROL_TYPE:  - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),,24715973,NONKINETIC,0,0,,,,645,-1,1967
2213620,UNITED STATES OF AMERICA,USMC,10/1/67,1714559,CACTA6669,A-6,DANANG,15.35561286,108.40065,ANTI-AIRCRAFT,5,1838,500LB GP MK-82,,500,A6A,A6,,,,0,6,DIRECT AIR SUPPORT,MX027,1,IN COUNTRY,N,M01242,,TPQ-10,SOUTH VIETNAM,,49PBS21309920,##ABC11112222,0609N,MISSION: VS100122 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),ZB,24716690,KINETIC,0,1,,,,1839,-1,1967
2214078,UNITED STATES OF AMERICA,USAF,10/1/67,1715129,CACTA6669,RF-4,TAN SON NHUT,16.983333,106.633333,AREA\DEPOT,0,730,,,0,RF4C,RF4,,,,0,20,PHOTO RECCE,JP041,1,#NAME?,D,JAJQI0,BROKEN,,NORTH VIETNAM,,1659N10638E1709,DDMMSSN DDDMMSSE,,MISSION: UE813F - CONTROL_TYPE:  - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),XE,24717149,NONKINETIC,0,0,,,,735,-1,1967
2217399,UNITED STATES OF AMERICA,USMC,10/1/67,1719434,CACTA6669,A-6,DANANG,15.26486991,108.8764602,CAMP,4,1536,500LB GP MK-82,,500,A6A,A6,,,,0,6,DIRECT AIR SUPPORT,MX024,1,IN COUNTRY,N,M01242,,TPQ-10,SOUTH VIETNAM,,49PBS72308860,##ABC11112222,0804CM,MISSION: VS100113 - CONTROL_TYPE: TPQ-10 - RTCOR: CORPS AREA I (IN-COUNTRY MISSIONS) OR RTE AREA 1 (OUT-OF-COUNTRY MISSIONS),BS,24720472,KINETIC,0,14,,,,1537,-1,1967
2217695,UNITED STATES OF AMERICA,USAF,10/1/67,1719817,CACTA6669,A-37,BIEN HOA,11.3301412,106.2983907,AREA\DEPOT,2,535,750LB GP M-117,,799,A37A,A37,,,,25,76,LANDING ZONE PREP,JA023,2,IN COUNTRY - SOUTH VIETNAM,D,JAPNU0,CLEAR,ABN FWD AIR CNTL,SOUTH VIETNAM,,48PXT420527,##ABC111222,0209N,MISSION: VS1008 - CONTROL_TYPE: ABN FWD AIR CNTL - RTCOR: CORPS AREA III (IN-COUNTRY MISSIONS) OR RTE AREA 3 (OUT-OF-COUNTRY MISSIONS),XT,24720769,KINETIC,0,0,,,,543,-1,1967
2219766,UNITED STATES OF AMERICA,USAF,10/1/67,1722486,CACTA6669,A-1,PLEIKU,14.767,107.467,ROAD,0,1015,M-3,,50,A1E,A1,,,,40,1,STRIKE,JM009,2,STEEL TIGER - STEEL TIGER,D,JAAGD0,CLEAR,ABN FWD AIR CNTL (TIGER HOUND),LAOS,,14767N107467E,DD.DDDN DDD.DDDE,0509N,MISSION: SLTH-219 - CONTROL_TYPE: ABN FWD AIR CNTL (TIGER HOUND) - RTCOR: RTE AREA G (OUT-OF-COUNTRY MISSIONS),YB,24722841,KINETIC,0,16,,,,1016,-1,1967
